Date,Roti Amount,Basmathi rice Amount,Samba rice Amount,Cooking oil Amount,Chicken Amount,Fish Amount,Prawns Amount,Cuttlefish Amount,Egg Amount,Salt Amount,Pepper Amount,Chilie flakes Amount,Sausage Amount,Cheese Amount,Fresh milk Amount,Carrot Amount,Leeks Amount,Cabage Amount,Pinnaple Amount,Sesame oil Amount,Tomato ketchup Amount,Dark sauce Amount,Oyster sauce Amount,Roti Amount (Unit),Basmathi rice Amount (Unit),Samba rice Amount (Unit),Cooking oil Amount (Unit),Chicken Amount (Unit),Fish Amount (Unit),Prawns Amount (Unit),Cuttlefish Amount (Unit),Egg Amount (Unit),Salt Amount (Unit),Pepper Amount (Unit),Chilie flakes Amount (Unit),Sausage Amount (Unit),Cheese Amount (Unit),Fresh milk Amount (Unit),Carrot Amount (Unit),Leeks Amount (Unit),Cabage Amount (Unit),Pinnaple Amount (Unit),Sesame oil Amount (Unit),Tomato ketchup Amount (Unit),Dark sauce Amount (Unit),Oyster sauce Amount (Unit)
2024-06-18,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg,,,,,,,,,,,,,,,,,,,,,,
2024-06-21,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg,,,,,,,,,,,,,,,,,,,,,,
2024-06-23,0.0,375.0,390.0,110.0,200.0,45.0,45.0,38.0,5800,0.0,0.0,0.0,1600,0,0.0,60.0,80.0,45.0,3.0,0.0,0.0,0.0,0.0,,kg,kg,L,kg,kg,kg,kg,,,,,,,,kg,kg,kg,kg,,,,
2024-06-24,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg,,,,,,,,,,,,,,,,,,,,,,
2024-06-30,200.0,320.0,395.0,90.0,130.0,30.0,40.0,35.0,5700,0.0,0.0,0.0,1450,0,0.0,50.0,75.0,40.0,2.0,0.0,0.0,0.0,0.0,kg,kg,kg,L,kg,kg,kg,kg,,,,,,,,kg,kg,kg,kg,,,,
2024-07-03,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg,,,,,,,,,,,,,,,,,,,,,,
2024-07-06,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg,,,,,,,,,,,,,,,,,,,,,,
2024-07-07,0.0,350.0,360.0,100.0,150.0,40.0,42.0,35.0,5700,100.0,125.0,105.0,1450,300,20.0,50.0,75.0,35.0,2.0,50.0,30.0,1.0,3.0,,kg,kg,L,kg,kg,kg,kg,,kg,kg,kg,,,L,kg,kg,kg,kg,L,L,L,L
2024-07-09,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg,,,,,,,,,,,,,,,,,,,,,,
2024-07-12,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg,,,,,,,,,,,,,,,,,,,,,,
2024-07-14,0.0,300.0,365.0,100.0,150.0,40.0,42.0,35.0,5600,0.0,0.0,0.0,1400,0,0.0,45.0,65.0,30.0,1.0,0.0,0.0,0.0,0.0,,kg,kg,L,kg,kg,kg,kg,,,,,,,,kg,kg,kg,kg,,,,
2024-07-15,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg,,,,,,,,,,,,,,,,,,,,,,
2024-07-18,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg,,,,,,,,,,,,,,,,,,,,,,
2024-07-21,200.0,380.0,385.0,120.0,180.0,50.0,45.0,40.0,6000,0.0,0.0,0.0,1700,0,0.0,60.0,80.0,40.0,4.0,0.0,0.0,0.0,0.0,kg,kg,kg,L,kg,kg,kg,kg,,,,,,,,kg,kg,kg,kg,,,,
2024-07-24,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg,,,,,,,,,,,,,,,,,,,,,,
2024-07-27,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg,,,,,,,,,,,,,,,,,,,,,,
2024-07-28,0.0,340.0,370.0,80.0,160.0,45.0,40.0,38.0,5800,0.0,0.0,0.0,1650,0,0.0,50.0,77.0,35.0,2.0,0.0,0.0,0.0,0.0,,kg,kg,L,kg,kg,kg,kg,,,,,,,,kg,kg,kg,kg,,,,
